363163,2001,SE286,57400,2.03593656,0.456315416,26.8078017,199.2007933,268.5514039,297.7450701,1.1069,2.96,2.91,17.80,0.139251,43,AMO,363163,2001,SE286
429094,2009,SG2,57400,1.12088383,0.170130050,25.9793933,252.9541733,9.0967312,190.1548224,0.9302,1.31,1.19,20.10,0.035223,45,APO,429094,2009,SG2
2340,Hathor,53228,0.84382925,0.449884166,5.8545912,39.9262942,211.5421371,42.1044329,0.4642,1.22,0.78,20.20,0.006874,60,ATE,2340,Hathor
420286,2011,RZ,57400,2.13174147,0.532787599,36.5848127,278.3925641,332.1113933,189.4857730,0.9960,3.27,3.11,18.60,0.300604,34,APO,420286,2011,RZ
386259,2008,EJ1,57400,2.08363530,0.528928988,38.8140531,78.9033719,337.4603695,306.1749801,0.9815,3.19,3.01,15.70,0.275463,24,APO,386259,2008,EJ1
168378,1997,ET30,57400,2.13816029,0.448184297,6.8147278,263.2940576,23.3025422,297.3624989,1.1799,3.10,3.13,16.80,0.206957,115,AMO,168378,1997,ET30
331990,2005,FD,57400,1.46075746,0.393947820,11.3298577,270.9394375,13.3737194,343.9480562,0.8853,2.04,1.77,19.60,0.096550,41,APO,331990,2005,FD
275714,2000,YH4,57400,1.48970229,0.458647357,17.9673548,269.4040030,85.6297551,138.0494426,0.8065,2.17,1.82,18.60,0.084338,43,APO,275714,2000,YH4
455795,2005,SF,57400,1.95204212,0.654188024,10.0973218,148.8700532,110.4874112,301.4611141,0.6750,3.23,2.73,18.70,0.130676,22,APO,455795,2005,SF
285990,2001,SK9,57400,1.78550045,0.789019665,25.9782679,34.5100948,195.7854949,43.1168502,0.3767,3.19,2.39,18.00,0.220033,39,APO,285990,2001,SK9
66253,1999,GT3,57400,1.33402812,0.837678552,19.5112397,260.8862365,157.5904057,356.3698613,0.2165,2.45,1.54,18.20,0.192925,27,APO,66253,1999,GT3
90367,2003,LC5,57400,1.15557427,0.426253690,16.8787500,313.7887081,86.8659810,313.2435375,0.6630,1.65,1.24,17.80,0.150967,104,APO,90367,2003,LC5
138911,2001,AE2,57400,1.34967401,0.081631525,1.6614930,43.1225906,171.4695720,107.9522621,1.2395,1.46,1.57,19.20,0.232977,110,AMO,138911,2001,AE2
159857,2004,LJ1,57400,2.26597433,0.592420185,23.0434890,139.7079025,235.7759691,113.3472238,0.9236,3.61,3.41,15.40,0.019661,207,APO,159857,2004,LJ1
159856,2004,JW6,57400,2.15600771,0.465147937,9.7523011,174.4358943,143.9774697,210.9443982,1.1531,3.16,3.17,17.90,0.139142,22,AMO,159856,2004,JW6
3200,Phaethon,57400,1.27119448,0.889875188,22.2428424,322.1491114,265.2551262,208.8333449,0.1400,2.40,1.43,14.60,0.019867,479,APO,3200,Phaethon
370702,2004,NC9,57400,2.69064235,0.557806352,23.9391561,259.1195966,335.3110709,245.6385061,1.1898,4.19,4.41,17.10,0.419249,29,AMO,370702,2004,NC9
420210,2011,HF,57400,1.28374328,0.234966675,10.6216538,149.6074581,204.9185884,318.3529849,0.9821,1.59,1.45,20.40,0.009621,59,APO,420210,2011,HF
