ID,Name,Epoch,a,e,i,w,Node,M,q,Q,P,H,MOID,ref,class,ID2,Name2
2009,UK28,57400,2.17846007,0.409924334,27.4203194,330.1387852,52.6699364,341.7098642,1.2855,3.07,3.22,19.70,0.328986,24,AMO,2009,UK28
2009,UL28,55133,2.03253699,0.534404591,2.8760923,235.0205958,206.4224585,347.5275634,0.9463,3.12,2.90,24.80,0.021172,12,APO,2009,UL28
2009,UM28,55133,1.89141953,0.432330166,8.7972062,9.6618383,32.7624984,356.8069794,1.0737,2.71,2.60,23.60,0.082959,7,AMO,2009,UM28
2009,US87,57400,1.64014312,0.239656592,0.5369453,323.1199132,104.5964773,328.5304756,1.2471,2.03,2.10,22.00,0.260267,18,AMO,2009,US87
2009,UT87,57400,2.58922738,0.570362564,8.7862205,331.7708646,35.2292918,180.8636736,1.1124,4.07,4.17,22.90,0.128933,7,AMO,2009,UT87
2009,UU87,55131,1.67976280,0.396385942,16.9796486,207.4051553,216.3582660,348.2401809,1.0139,2.35,2.18,25.50,0.050340,6,APO,2009,UU87
2009,UV87,55132,2.53199116,0.582182442,10.5622875,179.7638416,213.3870277,0.1192724,1.0579,4.01,4.03,24.80,0.063806,7,AMO,2009,UV87
2009,UW87,57400,1.93803904,0.542506883,1.2453432,234.5239503,209.6414221,94.6962088,0.8866,2.99,2.70,28.00,0.003123,7,APO,2009,UW87
2009,UX87,57400,1.09598408,0.113709216,12.9156776,57.2906328,35.2823174,100.6625168,0.9714,1.22,1.15,25.30,0.023701,11,APO,2009,UX87
2009,UY87,55139,2.24242538,0.692551681,8.0100172,135.2743999,354.5028923,346.3890829,0.6894,3.80,3.36,19.30,0.070725,14,APO,2009,UY87
2009,UZ87,57400,0.92371491,0.187949647,3.7783681,45.3004545,218.5111180,111.1290536,0.7501,1.10,0.89,25.90,0.011407,8,ATE,2009,UZ87
2009,VA,55141,1.42795046,0.357347940,7.5410621,223.9910454,224.5420216,338.9461324,0.9177,1.94,1.71,28.60,0.000131,5,APO,2009,VA
2009,VP,57400,1.37433141,0.332306251,21.6500488,291.9488003,48.3473212,334.9308245,0.9176,1.83,1.61,22.70,0.076136,13,APO,2009,VP
2009,VQ,57400,2.42068496,0.584548536,4.7706963,353.7433826,44.1199296,231.9100101,1.0057,3.84,3.77,26.30,0.014262,8,APO,2009,VQ
2009,VR,57400,1.56951012,0.395628586,5.0613413,41.4551969,45.4525485,33.7916387,0.9486,2.19,1.97,28.10,0.013490,7,APO,2009,VR
2009,VS,57400,1.29002667,0.334576556,14.0008542,105.6664432,227.2807577,117.2382685,0.8584,1.72,1.47,24.90,0.036885,8,APO,2009,VS
2009,VT,57400,1.36985316,0.399588988,3.4000055,300.1517155,214.7552697,243.9508413,0.8225,1.92,1.60,22.20,0.009692,14,APO,2009,VT
2009,VW,57400,1.43903123,0.562121416,7.1530489,256.0483923,54.4589636,241.7908248,0.6301,2.25,1.73,21.70,0.027456,20,APO,2009,VW
2009,VX,57400,2.52867888,0.662388440,6.7391423,52.1908428,47.2039904,183.7770344,0.8537,4.20,4.02,26.20,0.005847,9,APO,2009,VX
2009,VZ,57400,1.41220714,0.325109241,12.3068559,221.4193260,233.7104121,221.4775123,0.9531,1.87,1.68,21.30,0.020854,27,APO,2009,VZ
2009,VA1,57400,2.44334160,0.574087333,34.7100318,134.4151843,207.5410028,230.8826180,1.0407,3.85,3.82,18.80,0.151538,18,AMO,2009,VA1
2009,VB1,55146,1.59834456,0.301178866,31.0073230,217.9869627,228.0152177,339.6670305,1.1170,2.08,2.02,23.70,0.177534,8,AMO,2009,VB1
2009,VC1,55147,1.81808359,0.515103019,4.1597264,233.6408063,231.8454856,342.8604419,0.8816,2.75,2.45,27.00,0.008103,8,APO,2009,VC1
2009,VN1,57400,1.00869493,0.179887009,23.7172735,46.1536838,230.8396383,151.8565338,0.8272,1.19,1.01,24.20,0.114317,9,APO,2009,VN1
2009,VT1,57400,1.98516283,0.502675358,0.2652296,178.2950108,217.1127489,78.3097009,0.9873,2.98,2.80,29.50,0.000548,6,APO,2009,VT1
